year,city,country,avg_temp
1845,Tokyo,Japan,11.95
1846,Tokyo,Japan,12.40
1847,Tokyo,Japan,12.21
1848,Tokyo,Japan,12.14
1849,Tokyo,Japan,12.14
1850,Tokyo,Japan,11.71
1851,Tokyo,Japan,11.76
1852,Tokyo,Japan,11.73
1853,Tokyo,Japan,11.86
1854,Tokyo,Japan,12.24
1855,Tokyo,Japan,12.56
1856,Tokyo,Japan,12.06
1857,Tokyo,Japan,11.94
1858,Tokyo,Japan,12.23
1859,Tokyo,Japan,12.15
1860,Tokyo,Japan,11.72
1861,Tokyo,Japan,11.79
1862,Tokyo,Japan,11.73
1863,Tokyo,Japan,12.45
1864,Tokyo,Japan,11.95
1865,Tokyo,Japan,12.39
1866,Tokyo,Japan,11.58
1867,Tokyo,Japan,12.46
1868,Tokyo,Japan,12.25
1869,Tokyo,Japan,12.03
1870,Tokyo,Japan,16.12
1871,Tokyo,Japan,12.12
1872,Tokyo,Japan,12.00
1873,Tokyo,Japan,11.53
1874,Tokyo,Japan,12.33
1875,Tokyo,Japan,12.17
1876,Tokyo,Japan,12.39
1877,Tokyo,Japan,12.73
1878,Tokyo,Japan,12.24
1879,Tokyo,Japan,12.82
1880,Tokyo,Japan,12.43
1881,Tokyo,Japan,12.15
1882,Tokyo,Japan,12.29
1883,Tokyo,Japan,11.84
1884,Tokyo,Japan,11.18
1885,Tokyo,Japan,11.53
1886,Tokyo,Japan,12.44
1887,Tokyo,Japan,12.25
1888,Tokyo,Japan,12.01
1889,Tokyo,Japan,11.66
1890,Tokyo,Japan,13.50
1891,Tokyo,Japan,12.42
1892,Tokyo,Japan,12.10
1893,Tokyo,Japan,11.71
1894,Tokyo,Japan,12.92
1895,Tokyo,Japan,12.22
1896,Tokyo,Japan,12.33
1897,Tokyo,Japan,11.72
1898,Tokyo,Japan,12.49
1899,Tokyo,Japan,12.32
1900,Tokyo,Japan,12.11
1901,Tokyo,Japan,12.31
1902,Tokyo,Japan,12.22
1903,Tokyo,Japan,12.34
1904,Tokyo,Japan,12.29
1905,Tokyo,Japan,12.03
1906,Tokyo,Japan,11.66
1907,Tokyo,Japan,11.97
1908,Tokyo,Japan,11.72
1909,Tokyo,Japan,12.04
1910,Tokyo,Japan,12.00
1911,Tokyo,Japan,12.81
1912,Tokyo,Japan,12.32
1913,Tokyo,Japan,11.72
1914,Tokyo,Japan,13.10
1915,Tokyo,Japan,12.74
1916,Tokyo,Japan,13.10
1917,Tokyo,Japan,12.04
1918,Tokyo,Japan,12.19
1919,Tokyo,Japan,12.59
1920,Tokyo,Japan,12.69
1921,Tokyo,Japan,12.12
1922,Tokyo,Japan,12.86
1923,Tokyo,Japan,12.64
1924,Tokyo,Japan,12.35
1925,Tokyo,Japan,12.19
1926,Tokyo,Japan,11.74
1927,Tokyo,Japan,12.19
1928,Tokyo,Japan,12.42
1929,Tokyo,Japan,12.44
1930,Tokyo,Japan,13.00
1931,Tokyo,Japan,12.16
1932,Tokyo,Japan,12.67
1933,Tokyo,Japan,12.69
1934,Tokyo,Japan,11.85
1935,Tokyo,Japan,12.25
1936,Tokyo,Japan,12.09
1937,Tokyo,Japan,12.86
1938,Tokyo,Japan,12.60
1939,Tokyo,Japan,12.72
1940,Tokyo,Japan,12.66
1941,Tokyo,Japan,12.61
1942,Tokyo,Japan,12.80
1943,Tokyo,Japan,12.48
1944,Tokyo,Japan,12.16
1945,Tokyo,Japan,11.62
1946,Tokyo,Japan,12.86
1947,Tokyo,Japan,11.99
1948,Tokyo,Japan,13.18
1949,Tokyo,Japan,12.62
1950,Tokyo,Japan,13.21
1951,Tokyo,Japan,12.72
1952,Tokyo,Japan,12.65
1953,Tokyo,Japan,12.51
1954,Tokyo,Japan,12.76
1955,Tokyo,Japan,13.42
1956,Tokyo,Japan,12.61
1957,Tokyo,Japan,12.66
1958,Tokyo,Japan,13.09
1959,Tokyo,Japan,13.50
1960,Tokyo,Japan,13.26
1961,Tokyo,Japan,13.66
1962,Tokyo,Japan,13.01
1963,Tokyo,Japan,12.71
1964,Tokyo,Japan,12.93
1965,Tokyo,Japan,12.27
1966,Tokyo,Japan,12.81
1967,Tokyo,Japan,12.85
1968,Tokyo,Japan,12.75
1969,Tokyo,Japan,12.64
1970,Tokyo,Japan,12.35
1971,Tokyo,Japan,12.52
1972,Tokyo,Japan,13.17
1973,Tokyo,Japan,12.96
1974,Tokyo,Japan,12.23
1975,Tokyo,Japan,12.72
1976,Tokyo,Japan,12.19
1977,Tokyo,Japan,12.94
1978,Tokyo,Japan,13.05
1979,Tokyo,Japan,13.83
1980,Tokyo,Japan,12.35
1981,Tokyo,Japan,12.06
1982,Tokyo,Japan,12.91
1983,Tokyo,Japan,12.64
1984,Tokyo,Japan,11.98
1985,Tokyo,Japan,12.90
1986,Tokyo,Japan,12.22
1987,Tokyo,Japan,13.41
1988,Tokyo,Japan,12.44
1989,Tokyo,Japan,13.35
1990,Tokyo,Japan,14.14
1991,Tokyo,Japan,13.32
1992,Tokyo,Japan,12.94
1993,Tokyo,Japan,12.49
1994,Tokyo,Japan,13.78
1995,Tokyo,Japan,12.98
1996,Tokyo,Japan,12.61
1997,Tokyo,Japan,13.43
1998,Tokyo,Japan,13.74
1999,Tokyo,Japan,13.78
2000,Tokyo,Japan,13.50
2001,Tokyo,Japan,13.13
2002,Tokyo,Japan,13.42
2003,Tokyo,Japan,12.89
2004,Tokyo,Japan,14.05
2005,Tokyo,Japan,12.99
2006,Tokyo,Japan,13.28
2007,Tokyo,Japan,13.68
2008,Tokyo,Japan,13.31
2009,Tokyo,Japan,13.55
2010,Tokyo,Japan,13.82
2011,Tokyo,Japan,13.32
2012,Tokyo,Japan,13.11
2013,Tokyo,Japan,13.91
